match,teamInning,battingPosition,batsman,R,B,M,4s,6s,SR,match_id,out/not_out
Zimbabwe Vs Ireland,Ireland,7,Gareth Delany,24,20,23,1,1,120.00,T20I # 1828,out
Zimbabwe Vs Ireland,Ireland,8,Mark Adair,9,10,18,0,1,90.00,T20I # 1828,out
Zimbabwe Vs Ireland,Ireland,9,Simi Singh,0,1,1,0,0,0.00,T20I # 1828,out
Zimbabwe Vs Ireland,Ireland,10,Barry McCarthy,22,16,23,1,2,137.50,T20I # 1828,not_out
Zimbabwe Vs Ireland,Ireland,11,Josh Little,7,11,17,1,0,63.63,T20I # 1828,not_out
Namibia Vs Netherlands,Namibia,1,Michael van Lingen ,20,19,20,3,0,105.26,T20I # 1830,out
Namibia Vs Netherlands,Namibia,2,Divan la Cock ,0,2,5,0,0,0.00,T20I # 1830,out
Namibia Vs Netherlands,Namibia,3,Stephan Baard ,19,22,46,0,0,86.36,T20I # 1830,out
Namibia Vs Netherlands,Namibia,4,Jan Nicol Loftie-Eaton ,0,2,3,0,0,0.00,T20I # 1830,out
Namibia Vs Netherlands,Namibia,5,Jan Frylinck ,43,48,63,1,1,89.58,T20I # 1830,out
Namibia Vs Netherlands,Namibia,6,Gerhard Erasmus (c),16,18,37,0,0,88.88,T20I # 1830,out
Namibia Vs Netherlands,Namibia,7,David Wiese ,11,5,8,1,0,220.00,T20I # 1830,not_out
Namibia Vs Netherlands,Namibia,8,JJ Smit ,5,4,6,1,0,125.00,T20I # 1830,not_out
Namibia Vs Netherlands,Netherlands,1,Max O'Dowd,35,35,59,1,1,100.00,T20I # 1830,out
Namibia Vs Netherlands,Netherlands,2,Vikramjit Singh,39,31,37,3,2,125.80,T20I # 1830,out
Namibia Vs Netherlands,Netherlands,3,Bas de Leede,30,30,51,2,0,100.00,T20I # 1830,not_out
Namibia Vs Netherlands,Netherlands,4,Tom Cooper,6,6,7,1,0,100.00,T20I # 1830,out
Namibia Vs Netherlands,Netherlands,5,Colin Ackermann,0,2,2,0,0,0.00,T20I # 1830,out
Namibia Vs Netherlands,Netherlands,6,Scott Edwards (c),1,5,5,0,0,20.00,T20I # 1830,out
Namibia Vs Netherlands,Netherlands,7,Tim Pringle,8,9,14,0,0,88.88,T20I # 1830,not_out
Sri Lanka Vs United Arab Emirates,Sri Lanka,1,Pathum Nissanka ,74,60,105,6,2,123.33,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,Sri Lanka,2,Kusal Mendis ,18,13,24,2,0,138.46,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,Sri Lanka,3,Dhananjaya de Silva ,33,21,30,3,1,157.14,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,Sri Lanka,4,Bhanuka Rajapaksa ,5,8,19,0,0,62.50,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,Sri Lanka,5,Charith Asalanka ,0,1,2,0,0,0.00,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,Sri Lanka,6,Dasun Shanaka (c),0,1,2,0,0,0.00,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,Sri Lanka,7,Wanindu Hasaranga de Silva ,2,3,3,0,0,66.66,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,Sri Lanka,8,Chamika Karunaratne ,8,11,22,1,0,72.72,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,Sri Lanka,9,Pramod Madushan ,1,1,4,0,0,100.00,T20I # 1832,not_out
Sri Lanka Vs United Arab Emirates,Sri Lanka,10,Dushmantha Chameera ,1,1,2,0,0,100.00,T20I # 1832,not_out
Sri Lanka Vs United Arab Emirates,United Arab Emirates,1,Muhammad Waseem,2,4,13,0,0,50.00,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,United Arab Emirates,2,Chirag Suri,14,19,31,3,0,73.68,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,United Arab Emirates,3,Aryan Lakra,1,3,4,0,0,33.33,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,United Arab Emirates,4,Chundangapoyil Rizwan (c),1,3,8,0,0,33.33,T20I # 1832,out
